l,nr,l,nr,l,,,,,,,,,
36,33.7208475540387,36,30.128934395146,36,33,36,37.3151308304892,36,36.5519529768676,36,36.8174061433447,36,36.5519529768676
37,34.3430034129693,37,30.9783845278726,37,34,37,38.6423966628745,37,37.5,37,37.6469472885855,37,37.5
38,34.9651592718999,38,31.8278346605992,38,34,38,39.4719378081153,38,38.8272658323853,38,38.7087599544937,38,38.8272658323853
39,35.5873151308305,39,32.6772847933258,39,35,39,40.3014789533561,39,40.1545316647706,39,39.770572620402,39,39.6568069776261
40,36.2094709897611,40,33.5267349260523,40,36,40,41.1310200985969,40,41.4817974971558,40,40.7186196435343,40,40.7186196435343
41,36.8316268486917,41,34.3761850587789,41,36.518771331058,41,41.9605612438377,41,42.3113386423966,41,41.6666666666667,41,41.6666666666667
42,37.4537827076223,42,35.2256351915055,42,37.2298065984073,42,43.0223739097459,42,43.1408797876375,42,42.9939324990519,42,42.9939324990519
43,38.0759385665529,43,36.0750853242321,43,37.9408418657565,43,44.0841865756542,43,43.9704209328783,43,44.3211983314372,43,43.8234736442927
44,38.6980944254835,44,36.9245354569587,44,38.8509670079636,44,45.1459992415624,44,45.0322335987865,44,45.150739476678,44,44.885286310201
45,39.3202502844141,45,37.7739855896853,45,39.7610921501706,45,46.2078119074706,45,46.0940462646947,45,45.9802806219188,45,45.8333333333333
46,39.9424061433447,46,38.6234357224118,46,40.6712172923777,46,47.155858930603,46,47.1558589306029,46,47.0420932878271,46,47.1605991657186
47,40.5645620022753,47,39.3818733409177,47,41.5813424345847,47,48.1039059537353,47,48.1039059537353,47,48.1039059537353,47,47.9901403109594
48,41.1867178612059,48,40.1403109594236,48,42.4914675767918,48,49.0519529768676,48,49.0519529768676,48,49.0519529768676,48,49.0519529768676
49,41.8088737201365,49,40.8987485779295,49,43.4015927189988,49,50,49,50,49,50,49,50
50,42.4310295790671,50,41.6571861964354,50,44.3117178612059,50,51.3272658323853,50,51.3272658323853,50,51.3272658323853,50,51.3272658323853
51,43.0531854379977,51,42.4156238149412,51,45.1243295953193,51,52.6545316647706,51,52.6545316647706,51,52.6545316647706,51,52.1568069776261
52,43.6753412969283,52,43.1740614334471,52,45.9369413294328,52,53.9817974971558,52,53.9817974971558,52,53.4840728100114,52,53.2186196435343
53,44.2974971558589,53,43.932499051953,53,46.7495530635462,53,55.3090633295411,53,54.8113386423966,53,54.3136139552522,53,54.1666666666667
